filename,language,youtube_id,caption,description,date,author,other_versions1,other_versions1_language,other_versions2,other_versions2_language
learnwikidata-01-Book-Chinese.webm,zh-Hans,nvpJI-wU4co,书的编辑,书的编辑,05/27/21,Vanderbilt University Libraries,learnwikidata-01-Book-English.webm,en,learnwikidata-01-Book-Spanish.webm,es
learnwikidata-01-Book-English.webm,en,3bVyY7VO2rQ,Editing a book item,Demonstrates editing a Wikidata item that is a book.,05/12/21,Vanderbilt University Libraries,learnwikidata-01-Book-Spanish.webm,es,learnwikidata-01-Book-Chinese.webm,zh-Hans
learnwikidata-01-Book-Spanish.webm,es,kBGSUqTWiNg,Breve introducción a declaraciones en Wikidata y cómo crear declaraciones que describen un libro,Video que introduce la estructura de declaraciones en Wikidata y demuestra como crear declaraciones que descibren un libro.,03/25/21,Vanderbilt University Libraries,learnwikidata-01-Book-Chinese.webm,zh-Hans,learnwikidata-01-Book-English.webm,en
learnwikidata-02-Article-Chinese.webm,zh-Hans,xQSnwRO--Vk,期刊文章的编辑,期刊文章的编辑,05/27/21,Vanderbilt University Libraries,learnwikidata-02-Article-English.webm,en,learnwikidata-02-Article-Spanish.webm,es
learnwikidata-02-Article-English.webm,en,jA1QGx9G1n0,Editing a journal article item,Demonstration showing how to edit a Wikidata item for a journal article.,05/12/21,Vanderbilt University Libraries,learnwikidata-02-Article-Spanish.webm,es,learnwikidata-02-Article-Chinese.webm,zh-Hans
learnwikidata-02-Article-Spanish.webm,es,hwgQw3J6uqk,Cómo crear declaraciones que describen un artículo científico,Video que demuestra cómo crear declaraciones en Wikidata que describen un artículo científico.,03/26/21,Vanderbilt University Libraries,learnwikidata-02-Article-Chinese.webm,zh-Hans,learnwikidata-02-Article-English.webm,en
learnwikidata-03-Author-Chinese.webm,zh-Hans,ui9hAaC5b_U,添加作者,添加作者,05/27/21,Vanderbilt University Libraries,learnwikidata-03-Author-English.webm,en,learnwikidata-03-Author-Spanish.webm,es
learnwikidata-03-Author-English.webm,en,aMrsDJ-sSS4,Author items and author name strings,"This video shows how to determine whether an author already has an item in Wikidata. If the author item exists, we add the author statement. If not, we add the author name string statement.",04/02/21,Vanderbilt University Libraries,learnwikidata-03-Author-Spanish.webm,es,learnwikidata-03-Author-Chinese.webm,zh-Hans
learnwikidata-03-Author-Spanish.webm,es,Sdw1ezm-CEs,Cómo agregar un autor a una obra en Wikidata,Video que muestra cómo agregar un autor a una obra en Wikidata,04/02/21,Vanderbilt University Libraries,learnwikidata-03-Author-Chinese.webm,zh-Hans,learnwikidata-03-Author-English.webm,en
learnwikidata-04-Item-Chinese.webm,zh-Hans,ov0anWIit_c,创建新项,创建新项,05/27/21,Vanderbilt University Libraries,learnwikidata-04-Item-English.webm,en,learnwikidata-04-Item-Spanish.webm,es
learnwikidata-04-Item-English.webm,en,b-ONtY2Aa8w,Creating a new item,This video shows how to create a new item for a publication.,04/02/21,Vanderbilt University Libraries,learnwikidata-04-Item-Spanish.webm,es,learnwikidata-04-Item-Chinese.webm,zh-Hans
learnwikidata-04-Item-Spanish.webm,es,YrCppR_s5P4,Cómo crear un nuevo ítem en Wikidata,Video que muestra cómo crear un nuevo ítem en Wikidata.,04/02/21,Vanderbilt University Libraries,learnwikidata-04-Item-Chinese.webm,zh-Hans,learnwikidata-04-Item-English.webm,en
learnwikidata-05-Person-Chinese.webm,zh-Hans,8LcnP8B4bSQ,编辑人物,编辑人物,05/27/21,Vanderbilt University Libraries,learnwikidata-05-Person-English.webm,en,learnwikidata-05-Person-Spanish.webm,es
learnwikidata-05-Person-English.webm,en,u6BxeZ4_PVU,Editing a person in Wikidata,Demonstration showing how to create a Wikidata item for a person.,04/09/21,Vanderbilt University Libraries,learnwikidata-05-Person-Spanish.webm,es,learnwikidata-05-Person-Chinese.webm,zh-Hans
learnwikidata-05-Person-Spanish.webm,es,X8RMJ4ajaIE,Como crear un ítem para una persona en Wikidata,Video que muestra como crear un ítem para una persona en Wikidata,04/09/21,Vanderbilt University Libraries,learnwikidata-05-Person-Chinese.webm,zh-Hans,learnwikidata-05-Person-English.webm,en
